date,close,ma_fast,ma_slow,atr,signal,position,position_size,daily_return,strategy_return,equity,drawdown,action
2019-01-02,370.9,,,,0,0,0.0,0.0,0.0,1000000.0,0.0,HOLD
2019-01-03,385.4,,,,0,0,0.0,0.03909409544351572,0.0,1000000.0,0.0,HOLD
2019-01-04,398.0,,,,0,0,0.0,0.03269330565646089,0.0,1000000.0,0.0,HOLD
2019-01-07,407.5,,,,0,0,0.0,0.023869346733668362,0.0,1000000.0,0.0,HOLD
2019-01-08,405.5,,,,0,0,0.0,-0.004907975460122671,-0.0,1000000.0,0.0,HOLD
2019-01-09,416.3,,,,0,0,0.0,0.026633785450061787,0.0,1000000.0,0.0,HOLD
2019-01-10,421.5,,,,0,0,0.0,0.012490992073024287,0.0,1000000.0,0.0,HOLD
2019-01-11,426.9,,,,0,0,0.0,0.012811387900355742,0.0,1000000.0,0.0,HOLD
2019-01-14,414.8,,,,0,0,0.0,-0.028343874443663597,-0.0,1000000.0,0.0,HOLD
2019-01-15,416.3,406.31,,,0,0,0.0,0.0036162005785920215,0.0,1000000.0,0.0,HOLD
2019-01-16,422.9,411.50999999999993,,,0,0,0.0,0.015853951477299955,0.0,1000000.0,0.0,HOLD
2019-01-17,425.2,415.49000000000007,,,0,0,0.0,0.0054386379758808445,0.0,1000000.0,0.0,HOLD
2019-01-18,432.0,418.89000000000004,,,0,0,0.0,0.015992474129821188,0.0,1000000.0,0.0,HOLD
2019-01-21,438.8,422.02,,13.078571428571431,0,0,0.0,0.015740740740740833,0.0,1000000.0,0.0,HOLD
2019-01-22,434.5,424.91999999999996,,12.828571428571431,0,0,0.0,-0.009799453053783047,-0.0,1000000.0,0.0,HOLD
2019-01-23,432.4,426.53000000000003,,11.650000000000002,0,0,0.0,-0.004833141542002317,-0.0,1000000.0,0.0,HOLD
2019-01-24,425.7,426.95,,11.507142857142854,0,0,0.0,-0.01549491211840881,-0.0,1000000.0,0.0,HOLD
2019-01-25,430.8,427.34,,11.242857142857142,0,0,0.0,0.011980267794221344,0.0,1000000.0,0.0,HOLD
2019-01-28,422.0,428.05999999999995,,10.964285714285714,0,0,0.0,-0.020427112349117982,-0.0,1000000.0,0.0,HOLD
2019-01-29,418.5,428.28000000000003,,10.685714285714283,0,0,0.0,-0.008293838862559189,-0.0,1000000.0,0.0,HOLD
2019-01-30,425.1,428.5,,10.549999999999999,0,0,0.0,0.01577060931899643,0.0,1000000.0,0.0,HOLD
2019-01-31,431.6,429.14000000000004,,10.628571428571425,0,0,0.0,0.015290519877675823,0.0,1000000.0,0.0,HOLD
2019-02-01,423.2,428.26000000000005,,10.664285714285715,0,0,0.0,-0.019462465245597804,-0.0,1000000.0,0.0,HOLD
2019-02-11,429.6,427.34,,10.714285714285719,0,0,0.0,0.015122873345935872,0.0,1000000.0,0.0,HOLD
2019-02-12,427.4,426.63,,10.807142857142862,0,0,0.0,-0.005121042830540157,-0.0,1000000.0,0.0,HOLD
2019-02-13,432.5,426.64,,11.03571428571429,0,0,0.0,0.01193261581656535,0.0,1000000.0,0.0,HOLD
2019-02-14,441.8,428.25,,10.864285714285716,0,0,0.0,0.02150289017341045,0.0,1000000.0,0.0,HOLD
2019-02-15,444.3,429.6,,10.935714285714287,0,0,0.0,0.005658669081032075,0.0,1000000.0,0.0,HOLD
2019-02-18,461.1,433.51000000000005,,11.914285714285715,0,0,0.0,0.03781228899392297,0.0,1000000.0,0.0,HOLD
2019-02-19,461.2,437.78000000000003,,11.571428571428568,0,0,0.0,0.0002168726957274547,0.0,1000000.0,0.0,HOLD
2019-02-20,456.4,440.91,,11.09285714285714,0,0,0.0,-0.010407632263660038,-0.0,1000000.0,0.0,HOLD
2019-02-21,457.3,443.48,,11.257142857142854,0,0,0.0,0.001971954425942224,0.0,1000000.0,0.0,HOLD
2019-02-22,456.8,446.84000000000003,,10.985714285714282,0,0,0.0,-0.001093374152634996,-0.0,1000000.0,0.0,HOLD
2019-02-25,449.0,448.78000000000003,,11.278571428571427,0,0,0.0,-0.017075306479859886,-0.0,1000000.0,0.0,HOLD
2019-02-26,433.1,449.35,,12.042857142857141,0,0,0.0,-0.03541202672605781,-0.0,1000000.0,0.0,HOLD
2019-02-27,438.3,449.93,,11.942857142857141,0,0,0.0,0.012006465019625878,0.0,1000000.0,0.0,HOLD
2019-02-28,439.7,449.71999999999997,,11.364285714285712,0,0,0.0,0.003194159251654005,0.0,1000000.0,0.0,HOLD
2019-03-01,449.3,450.21999999999997,,11.549999999999999,0,0,0.0,0.021833068000909783,0.0,1000000.0,0.0,HOLD
2019-03-04,436.1,447.71999999999997,,12.078571428571426,0,0,0.0,-0.029379034052971265,-0.0,1000000.0,0.0,HOLD
2019-03-05,434.5,445.05,429.355,12.035714285714286,1,1,0.3610089020771513,-0.003668883283650559,-0.00018050445103857566,999819.4955489615,-0.0001805044510385656,OPEN
2019-03-06,438.6,443.27,431.04749999999996,12.121428571428575,1,1,0.3610089020771513,0.00943613348676653,0.0034065281899110264,1003225.4088453716,0.0,HOLD
2019-03-07,440.0,441.53999999999996,432.4125,11.957142857142859,1,1,0.3610089020771513,0.0031919744642041614,0.0011523311967806477,1004381.4567813872,0.0,HOLD
2019-03-08,437.0,439.56000000000006,433.3875,10.91428571428572,1,1,0.3610089020771513,-0.006818181818181834,-0.0024614243323442192,1001909.2478247102,-0.0024614243323441976,HOLD
2019-03-11,439.7,438.63,434.1925,11.528571428571436,1,1,0.3610089020771513,0.00617848970251722,0.0022304897840007267,1004143.996166479,-0.00023642473017093657,HOLD
2019-03-12,444.2,439.73999999999995,435.16,11.621428571428579,1,1,0.3610089020771513,0.010234250625426489,0.003694655581867616,1007853.9623869142,0.0,HOLD
2019-03-13,445.5,440.46000000000004,435.89000000000004,11.271428571428576,1,1,0.3610089020771513,0.0029266096352993376,0.001056532131247826,1008918.7924817814,0.0,HOLD
2019-03-14,452.7,441.75999999999993,436.6700000000001,11.507142857142858,1,1,0.3610089020771513,0.016161616161616044,0.005834487306297352,1014805.3163696013,0.0,HOLD
2019-03-15,455.0,442.33000000000004,437.37250000000006,11.135714285714284,1,1,0.3610089020771513,0.005080627347028965,0.0018341517004140768,1016666.6232662098,0.0,HOLD
2019-03-18,451.0,443.82,438.27750000000003,10.464285714285714,1,1,0.3610089020771513,-0.00879120879120876,-0.003173704633645275,1013440.0236930774,-0.0031737046336453023,HOLD
2019-03-19,457.0,446.07,439.2950000000001,10.5,1,1,0.3610089020771513,0.013303769401330268,0.00480277918506184,1018307.3523441791,0.0,HOLD
2019-03-20,457.0,447.90999999999997,440.14750000000004,10.585714285714285,1,1,0.3610089020771513,0.0,0.0,1018307.3523441791,0.0,HOLD
2019-03-21,464.0,450.30999999999995,441.1175,10.699999999999998,1,1,0.3610089020771513,0.015317286652078765,0.00552967683706796,1023938.2629234528,0.0,HOLD
2019-03-22,461.0,452.7099999999999,441.84250000000003,9.935714285714283,1,1,0.3610089020771513,-0.006465517241379337,-0.0023341092806712467,1021548.2791211287,-0.002334109280671237,HOLD
2019-03-25,450.0,453.73999999999995,442.12250000000006,10.049999999999995,1,1,0.3610089020771513,-0.02386117136659438,-0.008614095277328997,1012748.5649143878,-0.010928098318268908,HOLD
2019-03-26,454.8,454.8,442.63,9.564285714285708,1,1,0.3610089020771513,0.010666666666666602,0.0038507616221562574,1016648.418221054,-0.0071194181977197735,HOLD
2019-03-27,458.8,456.13,443.28999999999996,9.221428571428564,1,1,0.3610089020771513,0.008795074758135346,0.0031751002821209084,1019876.3789005656,-0.003966922782326798,HOLD
